Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total,Total
225,Sacramento State,Big Sky,FCS,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
258,Weber State,Big Sky,FCS,30,0,0,0,0,79,5,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
266,Idaho,Big Sky,FBS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25,0,0
80,North Carolina A&T State,Big South,FCS,251.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,50.5,9,68.25,0,0,0,0,0,0,118.75,132.5,0
103,Campbell,Big South,FCS,178,33,37.5,61,10.5,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,54,18,0,0,0,0,0,0,91,37,50
171,High Point,Big South,DI,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,21.5,0,0,0,0,0,0,0,0,21.5,49.5,25
229,Longwood,Big South,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
258,Charleston Southern,Big South,FCS,30,0,0,0,0,73,5,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
266,Radford,Big South,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25,0,0
3,Michigan,Big Ten,FBS,1245.25,17,50,20,54,0,0,9,53,0,0,10,60,17,x,17,x,5,73,0,0,46,x,0,0,5,60,0,0,350,590.25,305
4,Ohio State,Big Ten,FBS,1184.5,0,0,45,x,23,51,0,0,9,53,8,66,33,x,17,50,3,83,12,64.5,46,x,0,0,0,0,0,0,367.5,678,139
24,Wisconsin,Big Ten,FBS,795,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,37,35.5,25,47,0,0,0,0,0,0,132.5,323,339.5
28,Minnesota,Big Ten,FBS,746.75,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,49,21.5,18,54,0,0,0,0,0,0,113,390.75,243
36,Northwestern,Big Ten,FBS,634,0,0,25,49,61,10.5,3,83,0,0,0,0,7,73,33,25,17,50,0,0,0,0,0,0,0,0,0,0,290.5,216.5,127
41,Michigan State,Big Ten,FBS,544.75,0,0,26,46,43,28.5,0,0,0,0,0,0,0,0,0,0,0,0,30,41.5,39,32.5,0,0,0,0,0,0,148.5,223.25,173
43,Penn State,Big Ten,FBS,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32.5,0,0,0,0,0,0,32.5,204.5,298
46,Maryland,Big Ten,FBS,528,17,50,0,0,0,0,3,83,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,142,153
48,Rutgers,Big Ten,FBS,518.5,0,0,0,0,0,0,9,53,3,83,13,51,0,0,0,0,0,0,0,0,59,13,0,0,0,0,0,0,200,140.5,178
